Timestamp,Original,Rewritten,Method,Count
2025-06-07 10:56:50,how to value inventory under multiple ways,Rewrite this CA Final query: How can inventory be valued using multiple methods?,Semantic,10
2025-06-07 11:30:01,who to value inventory under multl metods,Rewrite this CA Final query: How to value inventory using multiple methods?,Semantic,10
2025-06-07 21:08:43,%example,%example,Command Filter,7
2025-06-07 21:29:25,%example,%example,Command Filter,7
2025-06-07 21:33:58,%example,%example,Command Filter,7
2025-06-07 21:57:40,how to value inventory when NRV less than the cost,how to value inventory when NRV less than the cost,Semantic,32
2025-06-07 21:58:25,question on valuation of inventory when there is by product,question on valuation of inventory when there is by product,Semantic,32
2025-06-07 22:16:50,how to value inventory when NRV less than the cost,how to value inventory when NRV less than the cost,Fuzzy,32
2025-06-07 22:17:33,how to value inventory when there is by products,how to value inventory when there is by products,Fuzzy,32
2025-06-07 22:21:05,#by product,#by product,Hashtag,1
2025-06-07 22:21:47,%example,%example,Command Filter,7
2025-06-07 22:22:00,%tyk,%tyk,Command Filter,6
2025-06-07 22:22:10,%rtp,%rtp,Command Filter,1
2025-06-07 22:22:22,%illustration,%illustration,Command Filter,17
2025-06-07 22:22:38,%other,%other,Command Filter,1
2025-06-07 22:22:48,%all,%all,Command Filter,32
2025-06-07 22:23:01,#126,#126,Hashtag,1
2025-06-07 22:27:13,#43300,#43300,Hashtag,1
2025-06-07 22:27:40,#2803,#2803,Hashtag,1
2025-06-07 22:29:54,#455,#455,Hashtag,2
2025-06-07 22:35:42,#300,#300,Hashtag,10
2025-06-07 22:37:34,#455,#455,Hashtag,2
2025-06-07 22:38:25,#400,#400,Hashtag,9
2025-06-07 22:39:19,#455,#455,Hashtag,2
2025-06-07 22:52:48,how to value inventory when NRV is less than cost,how to value inventory when NRV is less than cost,Fuzzy,32
2025-06-07 22:53:35,valuation of inventory at NRV,valuation of inventory at NRV,Fuzzy,32
2025-06-07 22:54:06,NRV vs cost treatment under Ind AS 2,NRV vs cost treatment under Ind AS 2,Fuzzy,32
2025-06-07 23:05:10,valuation of inventory when nrv is less,valuation of inventory when nrv is less,Semantic,2
2025-06-07 23:06:23,valuation of inventory when there is by product,valuation of inventory when there is by product,Fuzzy,32
2025-06-07 23:06:43,valuation of inventory when there is byproduct,valuation of inventory when there is byproduct,Semantic,3
2025-06-07 23:07:23,valuation of inventory when there is scrap,valuation of inventory when there is scrap,Fuzzy,32
2025-06-07 23:07:54,scrap valuation,scrap valuation,Fuzzy,32
2025-06-07 23:09:27,example of abnormal loss in inventory,example of abnormal loss in inventory,Fuzzy,32
2025-06-07 23:09:53,illustration on valuation of raw material when finished goods have NRV less than cost,illustration on valuation of raw material when finished goods have NRV less than cost,Fuzzy,32
2025-06-07 23:10:14,test your knowledge questions in inventories,test your knowledge questions in inventories,Fuzzy,32
2025-06-07 23:10:47,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Semantic,3
2025-06-07 23:11:07,what happens when nrv of inventory falls,what happens when nrv of inventory falls,Fuzzy,32
2025-06-07 23:11:29,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:11:46,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Semantic,3
2025-06-07 23:18:36,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Semantic,10
2025-06-07 23:20:03,how to value inventory when NRV is lower than cost,how to value inventory when NRV is lower than cost,Semantic,10
2025-06-07 23:20:45,how to deal with abnormal loss in inventory,how to deal with abnormal loss in inventory,Semantic,10
2025-06-07 23:21:25,cost formulas for inventory valuation,cost formulas for inventory valuation,Semantic,10
2025-06-07 23:29:17,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:30:12,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:34:00,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:43:46,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:44:04,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:06:33,valuation of inventory using NRV method illustration,valuation of inventory using NRV method illustration,Fuzzy,32
2025-06-08 00:07:14,%example,%example,Command Filter,7
2025-06-08 00:07:32,abnormal loss in inventory,abnormal loss in inventory,Fuzzy,32
2025-06-08 00:07:58,invntory valu in case of less NRV,invntory valu in case of less NRV,Fuzzy,32
2025-06-08 00:08:14,#jointcost,#jointcost,Hashtag,0
2025-06-08 00:11:36,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:13:00,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:13:32,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:20:57,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:23:22,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:31:29,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:43:44,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:56:56,joint cost allocation,joint cost allocation,Fuzzy,32
2025-06-08 00:57:53,valuation of inventory with by-products,valuation of inventory with by-products,Fuzzy,32
2025-06-08 00:58:01,valuation of inventory with by-products,valuation of inventory with by-products,Fuzzy,32
2025-06-08 01:02:34,cost formula when items are interchangeable,cost formula when items are interchangeable,Semantic,1
2025-06-08 01:05:26,joint cost allocation,joint cost allocation,Fuzzy,32
2025-06-08 01:06:07,valuation of inventory with by-products,valuation of inventory with by-products,Semantic,10
2025-06-08 07:48:44,valuation of inventory with by-products,valuation of inventory with by-products,Semantic,10
2025-06-08 07:49:31,#126,#126,Hashtag,1
2025-06-08 07:49:54,%example,%example,Command Filter,7
2025-06-08 07:50:31,valuation of inventory when cost less that nrv,valuation of inventory when cost less that nrv,Semantic,10
